Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Frequency,Type,Features,Frequency Stability,Frequency Tolerance,Impedance,Capacitance,Operating Temperature,Mounting Type,Package / Case,Size / Dimension,Height,Stock Freq?,Stock,Query,Package,Device
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,"http://media.digikey.com/Photos/Murata%20Photos/CERALOCK,%20CSTLS6%20Series.JPG",490-1213-ND,CSTLS10M0G53-B0,Murata Electronics North America,CER RESONATOR 10.0MHZ,810,0,0.23,0,1,Bulk,CERALOCKå¨,10MHz,Ceramic,Built in Capacitor,å±0.2%,å±0.5%,25 Ohm,15pF,-20å¡C ~ 80å¡C,Through Hole,"Radial - 3 Lead, 2.50mm Pitch","0.315"" L x 0.118"" W (8.00mm x 3.00mm)","0.236"" (6.00mm)",Stock,Stock,10MHzStock,MURATA_CTLS8_G_Series_HS,TH-CTS8-G
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,http://media.digikey.com/photos/Murata%20Photos/CSTLS-X%20SERIES.jpg,490-5999-1-ND,CSTLS16M0X53-A0,Murata Electronics North America,CER RESONATOR,9140,0,0.42,0,1,Cut Tape (CT),CERALOCKå¨,16MHz,Ceramic,Built in Capacitor,å±0.2%,å±0.5%,50 Ohm,15pF,-20å¡C ~ 80å¡C,Through Hole,"Radial - 3 Lead, 2.50mm Pitch","0.217"" L x 0.118"" W (5.50mm x 3.00mm)","0.256"" (6.50mm)",Stock,Stock,16MHzStock,MURATA_CTLS8_X_Series_HS,TH-CTS8-X
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,http://media.digikey.com/photos/Murata%20Photos/CSTLS-X%20SERIES.jpg,490-5998-1-ND,CSTLS16M0X51-A0,Murata Electronics North America,CER RESONATOR,3228,0,0.42,0,1,Cut Tape (CT),CERALOCKå¨,16MHz,Ceramic,Built in Capacitor,å±0.2%,å±0.5%,50 Ohm,5pF,-20å¡C ~ 80å¡C,Through Hole,"Radial - 3 Lead, 2.50mm Pitch","0.217"" L x 0.138"" W (5.50mm x 3.50mm)","0.276"" (7.00mm)",Stock,,16MHz,MURATA_CTLS8_X_Series_HS,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,http://media.digikey.com/photos/Murata%20Photos/CSTLS-X%20SERIES.jpg,490-6001-1-ND,CSTLS16M0X55Z-A0,Murata Electronics North America,CER RESONATOR,5732,0,0.45,0,1,Cut Tape (CT),CERALOCKå¨,16MHz,Ceramic,Built in Capacitor,å±0.2%,å±0.5%,50 Ohm,30pF,-40å¡C ~ 125å¡C,Through Hole,"Radial - 3 Lead, 2.50mm Pitch","0.217"" L x 0.118"" W (5.50mm x 3.00mm)","0.256"" (6.50mm)",Stock,,16MHz,MURATA_CTLS8_X_Series_HS,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,http://media.digikey.com/photos/Murata%20Photos/CSTLS-X%20SERIES.jpg,490-7035-ND,CSTLS16M0X53-B0,Murata Electronics North America,CER RESONATOR,2117,0,0.4,0,1,Bulk,CERALOCKå¨,16MHz,Ceramic,Built in Capacitor,å±0.2%,å±0.5%,50 Ohm,15pF,-20å¡C ~ 80å¡C,Through Hole,"Radial - 3 Lead, 2.50mm Pitch","0.217"" L x 0.118"" W (5.50mm x 3.00mm)","0.256"" (6.50mm)",Stock,,16MHz,MURATA_CTLS8_X_Series_HS,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,http://media.digikey.com/photos/Murata%20Photos/CSTLS-X%20SERIES.jpg,490-6000-1-ND,CSTLS16M0X55-A0,Murata Electronics North America,CER RESONATOR,5784,0,0.42,0,1,Cut Tape (CT),CERALOCKå¨,16MHz,Ceramic,Built in Capacitor,å±0.2%,å±0.5%,50 Ohm,30pF,-20å¡C ~ 80å¡C,Through Hole,"Radial - 3 Lead, 2.50mm Pitch","0.217"" L x 0.118"" W (5.50mm x 3.00mm)","0.256"" (6.50mm)",Stock,,16MHz,MURATA_CTLS8_X_Series_HS,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,http://media.digikey.com/photos/Murata%20Photos/CSTLS-X%20SERIES.jpg,490-1214-ND,CSTLS16M0X55-B0,Murata Electronics North America,CER RESONATOR 16.0MHZ,238,0,0.4,0,1,Bulk,CERALOCKå¨,16MHz,Ceramic,Built in Capacitor,å±0.2%,å±0.5%,50 Ohm,30pF,-20å¡C ~ 80å¡C,Through Hole,"Radial - 3 Lead, 2.50mm Pitch","0.217"" L x 0.118"" W (5.50mm x 3.00mm)","0.256"" (6.50mm)",Stock,,16MHz,MURATA_CTLS8_X_Series_HS,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,http://media.digikey.com/photos/Murata%20Photos/CSTLS-X%20SERIES.jpg,490-1215-ND,CSTLS20M0X53-B0,Murata Electronics North America,CER RESONATOR 20.0MHZ,5448,0,0.46,0,1,Bulk,CERALOCKå¨,20MHz,Ceramic,Built in Capacitor,å±0.2%,å±0.5%,50 Ohm,15pF,-20å¡C ~ 80å¡C,Through Hole,"Radial - 3 Lead, 2.50mm Pitch","0.217"" L x 0.118"" W (5.50mm x 3.00mm)","0.256"" (6.50mm)",Stock,Stock,20MHzStock,MURATA_CTLS8_X_Series_HS,TH-CTS8-X
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,http://media.digikey.com/photos/Murata%20Photos/CSTLS-X%20SERIES.jpg,490-6002-1-ND,CSTLS20M0X53-A0,Murata Electronics North America,CER RESONATOR,6796,0,0.48,0,1,Cut Tape (CT),CERALOCKå¨,20MHz,Ceramic,Built in Capacitor,å±0.2%,å±0.5%,50 Ohm,15pF,-20å¡C ~ 80å¡C,Through Hole,"Radial - 3 Lead, 2.50mm Pitch","0.217"" L x 0.118"" W (5.50mm x 3.00mm)","0.256"" (6.50mm)",Stock,,20MHz,MURATA_CTLS8_X_Series_HS,
http://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,http://media.digikey.com/photos/Murata%20Photos/CSTLS-G%20SERIES.jpg,490-1212-ND,CSTLS8M00G53-B0,Murata Electronics North America,CER RESONATOR 8.00MHZ,11291,0,0.22,0,1,Bulk,CERALOCKå¨,8MHz,Ceramic,Built in Capacitor,å±0.2%,å±0.5%,25 Ohm,15pF,-20å¡C ~ 80å¡C,Through Hole,"Radial - 3 Lead, 2.50mm Pitch","0.315"" L x 0.118"" W (8.00mm x 3.00mm)","0.236"" (6.00mm)",Stock,Stock,8MHzStock,MURATA_CTLS8_G_Series_HS,TH-CTS8-G
